,Player,Match_played,Starts,Minutes_played,goals,assist,Shots,shots_on_target,non_penalty_goals,penalty_goal,yellow_card,red_card,pass_comp,pass_attempt,pass_comp%,tackles_made,successful_tackles,Blocks,interceptions,clearence,Touches,successful_dribbles,dribbles_attempted,successful_dribbles%,fouls_commited,fouls_drawn,offside,crosses,penalty_kick_won,penalty_kick_conceded,own_goal,aerial_duo_won,aerial_duo_lost,Pos,Age,Club_country,Club,Team
444,Naam Sliti,2,1,114,0,0,1,0,0,0,0,0,29.0,51.0,56.9,3.0,1,0.0,0,1.0,65.0,5.0,8.0,62.5,0,3,2,13,0.0,0.0,0,1.0,1.0,MFFW,29,Saudi Arabia,AlEttifaq,Tunisia
445,Wajdi Kechrida,3,1,111,0,0,0,0,0,0,1,0,44.0,69.0,63.8,3.0,3,3.0,0,4.0,84.0,0.0,3.0,0.0,2,0,0,5,0.0,0.0,0,1.0,2.0,DF,26,Greece,Atromitos,Tunisia
446,Nader Ghandri,1,1,90,0,0,0,0,0,0,0,0,27.0,33.0,81.8,2.0,2,4.0,1,4.0,44.0,0.0,0.0,0.0,0,1,1,0,0.0,0.0,0,2.0,1.0,DF,27,Tunisia,Club Africain,Tunisia
447,Ali Maacloul,1,1,90,0,0,0,0,0,0,0,0,39.0,63.0,61.9,1.0,1,2.0,0,4.0,72.0,0.0,0.0,0.0,0,0,0,13,0.0,0.0,0,0.0,1.0,DF,32,Egypt,Al Ahly SC,Tunisia
448,Wahbi Khazri,2,1,83,1,0,5,3,1,0,0,0,13.0,20.0,65.0,2.0,0,0.0,0,0.0,37.0,0.0,3.0,0.0,1,2,2,2,0.0,0.0,0,0.0,0.0,FWMF,31,France,Montpellier,Tunisia
449,Mohamed Ali Ben Romdhane,1,1,73,0,0,0,0,0,0,0,0,14.0,21.0,66.7,5.0,4,1.0,0,0.0,31.0,1.0,3.0,33.3,1,1,0,1,0.0,0.0,0,1.0,0.0,MF,22,Tunisia,Esparance de Tunis,Tunisia
450,Ferjani Sassi,2,0,48,0,0,1,0,0,0,1,0,25.0,34.0,73.5,2.0,0,1.0,1,0.0,40.0,2.0,3.0,66.7,1,1,0,0,0.0,0.0,0,2.0,0.0,MFDF,30,Qatar,Al Duhail SC,Tunisia
451,Taha Yassine Khenissi,2,0,29,0,0,1,0,0,0,1,0,2.0,6.0,33.3,0.0,0,0.0,0,0.0,8.0,0.0,0.0,0.0,3,1,0,0,0.0,0.0,0,1.0,2.0,FW,30,Kuwait,Kuwait SC,Tunisia
452,Ghaylane Chaalali,1,0,17,0,0,0,0,0,0,0,0,3.0,4.0,75.0,0.0,0,1.0,2,1.0,12.0,0.0,0.0,0.0,1,0,0,0,0.0,0.0,0,1.0,0.0,MF,28,Tunisia,Esparance de Tunis,Tunisia
453,Hannibal Mejbri,1,0,11,0,0,0,0,0,0,0,0,2.0,2.0,100.0,1.0,0,0.0,1,0.0,4.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0,0.0,0.0,MF,19,England,Birmingham City,Tunisia
454,Luis Chaivez,3,3,270,1,0,10,4,1,0,0,0,99.0,139.0,71.2,1.0,0,6.0,1,3.0,171.0,2.0,6.0,33.3,3,8,0,19,0.0,0.0,0,5.0,5.0,MF,26,Mexico,Pachuca,Mexico
455,Jesus Gallardo,3,3,270,0,0,1,0,0,0,0,0,93.0,134.0,69.4,9.0,5,5.0,1,10.0,170.0,3.0,4.0,75.0,4,1,0,9,0.0,0.0,0,1.0,0.0,DF,27,Mexico,Monterrey,Mexico
456,Casar Montes,3,3,270,0,1,1,0,0,0,0,0,159.0,197.0,80.7,6.0,3,0.0,2,11.0,222.0,2.0,2.0,100.0,4,0,0,0,0.0,0.0,0,7.0,5.0,DF,25,Mexico,Monterrey,Mexico
457,Hactor Moreno,3,3,270,0,0,1,0,0,0,1,0,165.0,195.0,84.6,2.0,1,2.0,1,4.0,210.0,0.0,0.0,0.0,3,3,0,0,0.0,1.0,0,5.0,8.0,DF,34,Mexico,Monterrey,Mexico
458,Guillermo Ochoa,3,3,270,0,0,0,0,0,0,0,0,93.0,109.0,85.3,0.0,0,0.0,0,0.0,111.0,0.0,0.0,0.0,0,1,0,0,0.0,0.0,0,0.0,0.0,GK,36,Mexico,Amarica,Mexico
459,Hirving Lozano,3,3,252,0,0,6,3,0,0,0,0,42.0,77.0,54.5,7.0,2,4.0,0,1.0,113.0,5.0,10.0,50.0,7,11,2,24,0.0,0.0,0,1.0,10.0,FW,26,Italy,Napoli,Mexico
460,Alexis Vega,3,3,193,0,0,9,2,0,0,0,0,40.0,56.0,71.4,0.0,0,1.0,1,2.0,83.0,1.0,4.0,25.0,2,6,4,6,0.0,0.0,0,1.0,5.0,FW,24,Mexico,Guadalajara,Mexico
461,Edson alvarez,2,2,175,0,0,1,1,0,0,1,0,86.0,114.0,75.4,3.0,2,1.0,4,2.0,131.0,1.0,1.0,100.0,4,1,1,0,0.0,0.0,0,11.0,5.0,MF,24,Netherlands,Ajax,Mexico
462,Jorge Eduardo Sainchez,2,2,175,0,0,1,1,0,0,1,0,69.0,87.0,79.3,1.0,0,2.0,3,8.0,115.0,1.0,4.0,25.0,5,1,2,2,0.0,0.0,0,3.0,2.0,DF,24,Netherlands,Ajax,Mexico
463,Hactor Herrera,2,2,160,0,0,0,0,0,0,1,0,64.0,78.0,82.1,4.0,3,1.0,3,0.0,92.0,0.0,1.0,0.0,4,1,0,4,0.0,0.0,0,6.0,2.0,MF,32,USA,Houston Dynamo,Mexico
464,Henry Martan,2,2,146,1,0,4,2,1,0,0,0,13.0,20.0,65.0,1.0,1,2.0,2,1.0,36.0,1.0,1.0,100.0,3,3,2,0,0.0,0.0,0,3.0,2.0,FW,29,Mexico,Amarica,Mexico
465,Nastor Araujo,1,1,90,0,0,0,0,0,0,1,0,44.0,53.0,83.0,1.0,1,0.0,3,1.0,60.0,0.0,0.0,0.0,2,0,0,2,0.0,0.0,0,0.0,0.0,DF,30,Mexico,Amarica,Mexico
466,Orbelan Pineda,1,1,76,0,0,4,1,0,0,0,0,18.0,25.0,72.0,4.0,3,2.0,0,0.0,47.0,0.0,2.0,0.0,2,4,0,0,0.0,0.0,0,0.0,2.0,MF,26,Greece,AEK Athens,Mexico
467,Kevin alvarez,2,1,70,0,0,0,0,0,0,0,0,19.0,29.0,65.5,1.0,0,2.0,1,2.0,38.0,1.0,3.0,33.3,0,1,0,1,0.0,0.0,0,0.0,2.0,DF,23,Mexico,Pachuca,Mexico
468,Andras Guardado,1,1,41,0,0,0,0,0,0,0,0,11.0,16.0,68.8,4.0,2,0.0,0,1.0,23.0,0.0,0.0,0.0,1,0,0,0,0.0,0.0,0,0.0,0.0,MF,35,Spain,Betis,Mexico
469,Uriel Antuna,3,0,77,0,0,2,1,0,0,0,0,12.0,20.0,60.0,4.0,3,1.0,0,0.0,33.0,0.0,1.0,0.0,0,1,2,7,0.0,0.0,0,0.0,2.0,FWMF,24,Mexico,Cruz Azul,Mexico
470,Raaol Jimanez,3,0,59,0,0,0,0,0,0,0,0,20.0,32.0,62.5,0.0,0,0.0,1,1.0,37.0,0.0,0.0,0.0,1,1,0,2,0.0,0.0,0,3.0,0.0,FW,31,England,Wolves,Mexico
471,Erick Gutiarrez,1,0,49,0,0,0,0,0,0,1,0,24.0,29.0,82.8,1.0,1,0.0,2,1.0,35.0,0.0,1.0,0.0,2,3,0,0,0.0,0.0,0,1.0,0.0,MF,26,Netherlands,PSV Eindhoven,Mexico
472,Charly Rodriguez,2,0,34,0,0,0,0,0,0,0,0,21.0,30.0,70.0,0.0,0,2.0,0,0.0,36.0,2.0,2.0,100.0,1,1,0,1,0.0,0.0,0,0.0,1.0,MF,25,Mexico,Cruz Azul,Mexico
473,Roberto Alvarado,1,0,18,0,0,0,0,0,0,1,0,5.0,10.0,50.0,0.0,0,0.0,0,0.0,12.0,0.0,1.0,0.0,1,0,0,2,0.0,0.0,0,1.0,0.0,FW,23,Mexico,Guadalajara,Mexico
474,Rogelio Funes Mori,1,0,5,0,0,1,0,0,0,0,0,0.0,0.0,0.0,1.0,0,0.0,0,0.0,2.0,0.0,0.0,0.0,2,1,0,0,0.0,0.0,0,0.0,0.0,FW,31,Mexico,Monterrey,Mexico
475,Toby Alderweireld,3,3,270,0,1,0,0,0,0,0,0,248.0,273.0,90.8,4.0,2,3.0,0,19.0,302.0,0.0,0.0,0.0,0,0,0,2,0.0,0.0,0,1.0,2.0,DF,33,Belgium,Antwerp,Belgium
476,Timothy Castagne,3,3,270,0,0,0,0,0,0,0,0,176.0,202.0,87.1,7.0,4,1.0,2,4.0,231.0,0.0,2.0,0.0,3,1,0,3,0.0,0.0,0,2.0,3.0,DF,26,England,Leicester City,Belgium
477,Thibaut Courtois,3,3,270,0,0,0,0,0,0,0,0,108.0,123.0,87.8,0.0,0,0.0,0,0.0,130.0,1.0,1.0,100.0,0,0,0,0,0.0,0.0,0,0.0,0.0,GK,30,Spain,Real Madrid,Belgium
478,Kevin De Bruyne,3,3,270,0,0,7,2,0,0,0,0,93.0,136.0,68.4,1.0,1,2.0,0,3.0,167.0,4.0,8.0,50.0,0,2,0,18,0.0,0.0,0,4.0,0.0,FWMF,30,England,Manchester City,Belgium
479,Jan Vertonghen,3,3,270,0,0,2,0,0,0,0,0,238.0,269.0,88.5,0.0,0,2.0,5,12.0,294.0,0.0,0.0,0.0,0,6,0,0,0.0,0.0,0,11.0,5.0,DF,35,Belgium,Anderlecht,Belgium
480,Axel Witsel,3,3,270,0,0,1,0,0,0,0,0,169.0,177.0,95.5,4.0,2,5.0,4,6.0,200.0,0.0,0.0,0.0,5,4,0,0,0.0,0.0,0,4.0,2.0,MF,33,Spain,Atlatico Madrid,Belgium
481,Thomas Meunier,3,2,211,0,0,3,1,0,0,1,0,110.0,147.0,74.8,6.0,6,1.0,2,5.0,173.0,1.0,3.0,33.3,4,1,0,6,0.0,0.0,0,2.0,3.0,DF,30,Germany,Dortmund,Belgium
482,Leander Dendoncker,2,2,161,0,0,1,0,0,0,1,0,119.0,122.0,97.5,6.0,3,4.0,0,5.0,144.0,0.0,1.0,0.0,3,0,0,0,0.0,0.0,0,2.0,1.0,DFMF,27,England,Aston Villa,Belgium
483,Michy Batshuayi,2,2,151,1,0,6,2,1,0,0,0,16.0,24.0,66.7,1.0,0,1.0,0,0.0,42.0,1.0,3.0,33.3,5,1,2,0,0.0,0.0,0,1.0,2.0,FW,28,Turkey,Fenerbahae,Belgium
484,Eden Hazard,3,2,124,0,0,1,1,0,0,0,0,46.0,58.0,79.3,0.0,0,1.0,1,0.0,70.0,5.0,10.0,50.0,0,7,0,1,0.0,0.0,0,1.0,1.0,MF,31,Spain,Real Madrid,Belgium
485,Yannick Carrasco,2,2,116,0,0,4,0,0,0,1,0,39.0,46.0,84.8,5.0,4,2.0,1,4.0,67.0,1.0,3.0,33.3,1,2,0,2,0.0,1.0,0,0.0,0.0,FWDF,28,Spain,Atlatico Madrid,Belgium
486,Thorgan Hazard,2,1,106,0,0,0,0,0,0,0,0,40.0,58.0,69.0,3.0,2,4.0,0,0.0,70.0,0.0,2.0,0.0,2,2,1,9,0.0,0.0,0,0.0,3.0,FW,29,Germany,Dortmund,Belgium
487,Amadou Onana,2,1,104,0,0,2,0,0,0,2,0,58.0,64.0,90.6,4.0,1,1.0,0,0.0,76.0,1.0,1.0,100.0,4,3,0,0,0.0,0.0,0,2.0,0.0,MF,20,England,Everton,Belgium
488,Leandro Trossard,3,1,103,0,0,0,0,0,0,0,0,43.0,57.0,75.4,1.0,1,1.0,0,0.0,68.0,0.0,4.0,0.0,0,2,0,2,0.0,0.0,0,0.0,0.0,FWMF,27,England,Brighton,Belgium
489,Youri Tielemans,3,1,95,0,0,0,0,0,0,0,0,53.0,64.0,82.8,3.0,1,4.0,2,0.0,77.0,0.0,0.0,0.0,2,1,0,1,0.0,0.0,0,2.0,1.0,MF,25,England,Leicester City,Belgium
490,Dries Mertens,2,1,76,0,0,3,1,0,0,0,0,22.0,33.0,66.7,2.0,0,0.0,0,0.0,39.0,1.0,1.0,100.0,0,0,0,5,0.0,0.0,0,0.0,0.0,MFFW,35,Turkey,Galatasaray,Belgium
491,Romelu Lukaku,2,0,55,0,0,5,2,0,0,0,0,6.0,9.0,66.7,0.0,0,0.0,0,1.0,16.0,1.0,1.0,100.0,1,0,0,0,0.0,0.0,0,1.0,0.0,FW,29,Italy,Inter,Belgium
492,Jeremy Doku,1,0,19,0,0,0,0,0,0,0,0,8.0,14.0,57.1,0.0,0,0.0,0,0.0,17.0,2.0,4.0,50.0,0,1,0,3,0.0,0.0,0,0.0,1.0,MFFW,20,France,Rennes,Belgium
493,Charles De Ketelaere,1,0,16,0,0,0,0,0,0,0,0,3.0,4.0,75.0,0.0,0,0.0,0,0.0,6.0,0.0,0.0,0.0,0,1,0,0,0.0,0.0,0,0.0,3.0,FW,21,Italy,Milan,Belgium
494,Loas Openda,1,0,13,0,0,0,0,0,0,0,0,3.0,5.0,60.0,1.0,0,1.0,0,0.0,10.0,1.0,1.0,100.0,0,1,0,1,0.0,0.0,0,0.0,1.0,FW,22,France,Lens,Belgium
495,Lawrence AtiZigi,3,3,270,0,0,0,0,0,0,0,0,54.0,78.0,69.2,0.0,0,0.0,0,0.0,87.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0,0.0,0.0,GK,25,Switzerland,St,Ghana
496,Thomas Partey,3,3,270,0,0,2,0,0,0,0,0,146.0,176.0,83.0,9.0,5,8.0,0,8.0,219.0,3.0,3.0,100.0,3,2,0,1,0.0,0.0,0,6.0,3.0,MF,29,England,Arsenal,Ghana
497,Mohammed Salisu,3,3,270,1,0,2,1,1,0,0,0,109.0,151.0,72.2,2.0,1,5.0,3,17.0,184.0,0.0,0.0,0.0,6,1,0,0,0.0,1.0,0,8.0,8.0,DF,23,England,Southampton,Ghana
498,Inaki Williams,3,3,270,0,0,2,0,0,0,0,0,29.0,42.0,69.0,4.0,2,3.0,0,2.0,63.0,1.0,1.0,100.0,4,3,1,1,0.0,0.0,0,1.0,3.0,FW,27,Spain,Athletic Club,Ghana
499,Daniel Amartey,3,3,251,0,0,1,0,0,0,2,0,128.0,141.0,90.8,6.0,4,4.0,3,12.0,172.0,1.0,1.0,100.0,3,1,0,0,0.0,0.0,0,5.0,4.0,DF,27,England,Leicester City,Ghana
500,Salis Abdul Samed,3,3,250,0,0,1,0,0,0,0,0,129.0,145.0,89.0,2.0,2,2.0,4,8.0,170.0,3.0,4.0,75.0,5,2,0,2,0.0,0.0,0,0.0,3.0,MF,22,France,Lens,Ghana
501,Kudus Mohammed,3,3,247,2,0,8,4,2,0,1,0,62.0,87.0,71.3,5.0,4,4.0,1,0.0,119.0,10.0,15.0,66.7,3,5,1,6,1.0,0.0,0,0.0,4.0,FWMF,21,Netherlands,Ajax,Ghana
502,Andra Ayew,3,3,198,1,0,1,1,1,0,1,0,30.0,37.0,81.1,4.0,1,1.0,0,3.0,61.0,0.0,2.0,0.0,2,6,1,0,0.0,0.0,0,3.0,13.0,MFFW,32,Qatar,Al Sadd SC,Ghana
503,Baba Rahman,3,2,183,0,0,0,0,0,0,0,0,66.0,100.0,66.0,5.0,3,1.0,1,3.0,121.0,1.0,5.0,20.0,7,1,0,11,0.0,0.0,0,2.0,4.0,DF,27,England,Reading,Ghana
504,Alidu Seidu,2,2,155,0,0,1,0,0,0,2,0,59.0,78.0,75.6,6.0,4,5.0,0,3.0,101.0,4.0,6.0,66.7,5,5,0,6,0.0,0.0,0,1.0,0.0,DF,22,France,Clermont Foot,Ghana
505,Jordan Ayew,3,2,136,0,1,1,1,0,0,0,0,35.0,46.0,76.1,3.0,3,0.0,1,1.0,67.0,1.0,7.0,14.3,2,5,0,8,0.0,0.0,0,0.0,5.0,FW,30,England,Crystal Palace,Ghana
506,Tariq Lamptey,2,1,102,0,0,1,0,0,0,1,0,21.0,34.0,61.8,3.0,1,1.0,1,4.0,51.0,0.0,3.0,0.0,3,2,0,3,0.0,0.0,0,0.0,1.0,DF,21,England,Brighton,Ghana
507,Alexander Djiku,2,1,97,0,0,0,0,0,0,0,0,22.0,28.0,78.6,1.0,1,0.0,2,9.0,43.0,0.0,0.0,0.0,0,2,0,0,0.0,0.0,0,2.0,0.0,DFFW,27,France,Strasbourg,Ghana
508,Gideon Mensah,1,1,87,0,1,0,0,0,0,0,0,36.0,46.0,78.3,1.0,1,1.0,2,5.0,59.0,0.0,0.0,0.0,0,0,0,1,0.0,0.0,0,4.0,2.0,DF,23,France,Auxerre,Ghana
509,Osman Bukari,2,0,59,1,0,3,1,1,0,0,0,14.0,20.0,70.0,0.0,0,0.0,1,1.0,30.0,0.0,2.0,0.0,1,1,0,1,0.0,0.0,0,1.0,2.0,MF,23,Serbia,Red Star,Ghana
510,Kamaldeen Sulemana,2,0,58,0,0,1,1,0,0,1,0,10.0,19.0,52.6,0.0,0,0.0,0,2.0,30.0,1.0,5.0,20.0,2,2,0,4,0.0,0.0,0,2.0,1.0,FW,20,France,Rennes,Ghana
511,Daniel Kyereh,3,0,33,0,0,0,0,0,0,0,0,18.0,23.0,78.3,2.0,2,0.0,0,4.0,31.0,2.0,2.0,100.0,0,0,0,5,0.0,0.0,0,0.0,1.0,MFDF,26,Germany,Freiburg,Ghana
512,Antoine Semenyo,2,0,20,0,0,1,0,0,0,0,0,1.0,2.0,50.0,0.0,0,0.0,0,0.0,6.0,0.0,0.0,0.0,0,0,1,0,0.0,0.0,0,1.0,4.0,FWMF,22,England,Bristol City,Ghana
513,Denis Odoi,1,0,13,0,0,0,0,0,0,0,0,2.0,2.0,100.0,1.0,0,2.0,0,2.0,7.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0,0.0,4.0,DF,34,Belgium,Club Brugge,Ghana
514,Abdul Fatawu Issahaku,1,0,1,0,0,0,0,0,0,0,0,1.0,1.0,100.0,0.0,0,0.0,0,0.0,2.0,0.0,1.0,0.0,0,0,0,0,0.0,0.0,0,0.0,0.0,FW,18,Portugal,Sporting CP,Ghana
515,Saud Abdulhamid,3,3,270,0,0,1,0,0,0,1,0,88.0,122.0,72.1,5.0,2,3.0,2,6.0,154.0,2.0,4.0,50.0,7,5,0,9,0.0,1.0,0,4.0,6.0,DFMF,22,Saudi Arabia,AlHilal,Saudi Arabia
516,Salem AlDawsari,3,3,270,2,0,6,4,2,0,1,0,86.0,111.0,77.5,5.0,4,1.0,1,2.0,151.0,2.0,10.0,20.0,3,3,0,3,0.0,0.0,0,1.0,1.0,MF,30,Saudi Arabia,AlHilal,Saudi Arabia
517,Mohamed Kanno,3,3,270,0,0,6,1,0,0,0,0,119.0,147.0,81.0,6.0,2,3.0,2,7.0,187.0,5.0,10.0,50.0,8,3,1,0,0.0,0.0,0,8.0,9.0,MFFW,27,Saudi Arabia,AlHilal,Saudi Arabia
518,Mohammed AlOwais,3,3,270,0,0,0,0,0,0,1,0,57.0,100.0,57.0,0.0,0,0.0,0,4.0,113.0,0.0,0.0,0.0,0,3,0,0,0.0,0.0,0,2.0,0.0,GK,30,Saudi Arabia,AlHilal,Saudi Arabia
519,Firas AlBuraikan,3,3,268,0,1,2,0,0,0,0,0,42.0,63.0,66.7,3.0,3,5.0,2,4.0,93.0,1.0,7.0,14.3,2,3,1,2,0.0,0.0,0,5.0,7.0,MFFW,22,Saudi Arabia,AlFateh,Saudi Arabia
520,Saleh AlShehri,3,3,223,1,0,2,2,1,0,1,0,29.0,47.0,61.7,3.0,1,3.0,0,2.0,74.0,0.0,2.0,0.0,6,5,0,1,1.0,0.0,0,6.0,7.0,FW,28,Saudi Arabia,AlHilal,Saudi Arabia
521,Ali AlBulaihi,3,3,216,0,0,0,0,0,0,1,0,78.0,97.0,80.4,4.0,2,1.0,3,1.0,110.0,0.0,0.0,0.0,1,1,0,0,0.0,0.0,0,3.0,3.0,DF,32,Saudi Arabia,AlHilal,Saudi Arabia
522,Abdulelah AlAmri,3,2,182,0,0,1,0,0,0,2,0,74.0,104.0,71.2,1.0,0,2.0,4,10.0,130.0,0.0,0.0,0.0,3,3,0,1,0.0,0.0,0,10.0,4.0,DF,25,Saudi Arabia,AlNassr,Saudi Arabia
523,Hassan Al Tambakti,2,2,180,0,0,0,0,0,0,1,0,40.0,55.0,72.7,4.0,2,3.0,3,6.0,76.0,0.0,0.0,0.0,2,5,0,0,0.0,0.0,0,1.0,1.0,DF,23,Saudi Arabia,AlShabab,Saudi Arabia
524,Abdulellah AlMalki,2,2,174,0,0,2,0,0,0,2,0,66.0,84.0,78.6,3.0,1,3.0,2,4.0,104.0,0.0,0.0,0.0,8,4,0,1,0.0,0.0,0,0.0,1.0,MF,27,Saudi Arabia,AlHilal,Saudi Arabia
525,Sultan AlGhanam,3,1,126,0,0,2,0,0,0,0,0,34.0,52.0,65.4,0.0,0,3.0,2,3.0,71.0,0.0,2.0,0.0,2,0,1,7,0.0,0.0,0,0.0,0.0,DFMF,28,Saudi Arabia,AlNassr,Saudi Arabia
526,Yasser AlShahrani,1,1,89,0,0,0,0,0,0,0,0,13.0,29.0,44.8,3.0,1,0.0,6,6.0,44.0,0.0,0.0,0.0,1,0,0,1,0.0,0.0,0,0.0,0.0,DF,30,Saudi Arabia,AlHilal,Saudi Arabia
527,Mohammed AlBreik,2,1,65,0,0,2,1,0,0,0,0,39.0,48.0,81.3,1.0,0,2.0,1,4.0,56.0,0.0,0.0,0.0,0,1,0,2,0.0,0.0,0,1.0,4.0,DF,29,Saudi Arabia,AlHilal,Saudi Arabia
528,Ali Al Hassan,1,1,45,0,0,1,0,0,0,1,0,4.0,7.0,57.1,2.0,1,2.0,0,1.0,15.0,0.0,0.0,0.0,2,0,0,1,0.0,0.0,0,0.0,0.0,MF,25,Saudi Arabia,AlNassr,Saudi Arabia
529,Sami AlNajei,1,1,45,0,0,0,0,0,0,0,0,13.0,21.0,61.9,0.0,0,1.0,0,0.0,26.0,0.0,0.0,0.0,0,0,0,5,0.0,0.0,0,0.0,1.0,MF,25,Saudi Arabia,AlNassr,Saudi Arabia
530,Salman AlFaraj,1,1,44,0,0,0,0,0,0,0,0,12.0,16.0,75.0,1.0,0,2.0,0,0.0,20.0,0.0,0.0,0.0,0,0,0,1,0.0,0.0,0,0.0,0.0,MF,32,Saudi Arabia,AlHilal,Saudi Arabia
531,Nawaf Al Abed,2,0,88,0,0,2,0,0,0,1,0,33.0,39.0,84.6,0.0,0,0.0,1,0.0,51.0,1.0,2.0,50.0,2,2,0,2,0.0,0.0,0,0.0,1.0,MF,32,Saudi Arabia,AlShabab,Saudi Arabia
532,Riyadh Sharahili,1,0,54,0,0,0,0,0,0,0,0,14.0,17.0,82.4,0.0,0,1.0,2,4.0,29.0,1.0,2.0,50.0,4,0,0,0,0.0,0.0,0,1.0,1.0,MF,29,Saudi Arabia,Abha,Saudi Arabia
533,Abdullah Madu,1,0,45,0,0,0,0,0,0,1,0,5.0,13.0,38.5,1.0,0,3.0,0,2.0,18.0,0.0,0.0,0.0,1,0,0,0,0.0,0.0,0,1.0,1.0,DFMF,28,Saudi Arabia,AlNassr,Saudi Arabia
534,Abdulrahman AlAboud,2,0,35,0,0,1,0,0,0,0,0,8.0,13.0,61.5,3.0,3,0.0,0,0.0,23.0,0.0,3.0,0.0,0,0,0,2,0.0,0.0,0,1.0,1.0,MFDF,27,Saudi Arabia,AlIttihad,Saudi Arabia
535,Nasser AlDawsari,1,0,5,0,0,0,0,0,0,0,0,11.0,11.0,100.0,2.0,1,0.0,0,0.0,13.0,0.0,0.0,0.0,1,0,0,1,0.0,0.0,0,0.0,0.0,FW,23,Saudi Arabia,AlHilal,Saudi Arabia
536,Hattan Bahebri,2,0,4,0,1,0,0,0,0,1,0,4.0,7.0,57.1,0.0,0,0.0,0,0.0,7.0,0.0,0.0,0.0,2,0,0,0,0.0,0.0,0,1.0,0.0,MF,29,Saudi Arabia,AlShabab,Saudi Arabia
537,Asiri Haitham,1,0,2,0,0,0,0,0,0,0,0,1.0,2.0,50.0,0.0,0,2.0,0,1.0,5.0,0.0,0.0,0.0,1,0,0,0,0.0,0.0,0,0.0,1.0,FW,21,Saudi Arabia,AlAhli,Saudi Arabia
538,Majid Hosseini,3,3,270,0,0,0,0,0,0,1,0,86.0,106.0,81.1,7.0,4,3.0,6,11.0,137.0,0.0,0.0,0.0,4,1,1,0,0.0,0.0,0,6.0,4.0,DF,25,Turkey,Kayserispor,IR Iran
539,Morteza Pouraliganji,3,3,270,0,0,2,0,0,0,1,0,92.0,128.0,71.9,2.0,2,5.0,6,10.0,156.0,0.0,0.0,0.0,5,1,0,2,1.0,0.0,0,9.0,6.0,DF,30,Iran,Persepolis,IR Iran
540,Mehdi Taremi,3,3,270,2,1,5,1,1,1,0,0,58.0,78.0,74.4,4.0,3,5.0,2,3.0,122.0,1.0,9.0,11.1,5,4,1,0,0.0,0.0,0,5.0,7.0,FW,29,Portugal,Porto,IR Iran
541,Ehsan Hajsafi,3,3,237,0,0,1,0,0,0,0,0,61.0,98.0,62.2,6.0,3,3.0,2,2.0,121.0,0.0,2.0,0.0,1,3,0,11,0.0,0.0,0,2.0,0.0,MFDF,32,Greece,AEK Athens,IR Iran
542,Ahmad Nourollahi,3,3,223,0,0,5,1,0,0,0,0,35.0,54.0,64.8,4.0,3,3.0,6,8.0,85.0,1.0,2.0,50.0,2,0,0,3,0.0,0.0,0,1.0,0.0,MF,29,UAE,AlAhli Dubai FC,IR Iran
543,Milad Mohammadi,3,3,196,0,0,0,0,0,0,0,0,44.0,68.0,64.7,10.0,3,2.0,1,6.0,94.0,0.0,1.0,0.0,2,1,0,2,0.0,0.0,0,3.0,3.0,DF,28,Greece,AEK Athens,IR Iran
544,Saeid Ezatolahi,3,2,217,0,0,3,1,0,0,0,0,66.0,88.0,75.0,6.0,1,3.0,2,4.0,116.0,0.0,1.0,0.0,2,5,0,4,0.0,0.0,0,6.0,4.0,MF,25,Denmark,Vejle BK,IR Iran
545,Ali Gholizadeh,3,2,199,0,1,1,0,0,0,0,0,46.0,72.0,63.9,0.0,0,5.0,3,2.0,88.0,4.0,8.0,50.0,3,1,2,4,0.0,0.0,0,0.0,1.0,MFFW,26,Belgium,Charleroi,IR Iran
546,Ramin Rezaeian,2,2,180,1,0,2,1,1,0,1,0,73.0,105.0,69.5,7.0,5,1.0,3,2.0,130.0,1.0,1.0,100.0,2,3,0,11,0.0,0.0,0,1.0,6.0,DF,32,Iran,Sepahan,IR Iran
547,Sardar Azmoun,3,2,126,0,0,5,3,0,0,0,0,18.0,30.0,60.0,0.0,0,0.0,0,1.0,40.0,0.0,1.0,0.0,1,1,1,0,0.0,0.0,0,4.0,5.0,FW,27,Germany,Leverkusen,IR Iran
548,Alireza Beiranvand,2,2,109,0,0,0,0,0,0,0,0,20.0,31.0,64.5,0.0,0,0.0,0,2.0,33.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0,0.0,0.0,GK,29,Iran,Persepolis,IR Iran
549,Hossein Hosseini,2,1,161,0,0,0,0,0,0,0,0,23.0,47.0,48.9,0.0,0,0.0,0,0.0,49.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0,1.0,1.0,GK,29,Iran,Esteghlal,IR Iran
550,Ali Karimi,3,1,99,0,0,0,0,0,0,0,0,34.0,45.0,75.6,3.0,3,0.0,3,1.0,55.0,0.0,0.0,0.0,4,1,0,2,0.0,0.0,0,3.0,2.0,MF,28,Turkey,Kayserispor,IR Iran
551,Sadegh Moharrami,1,1,90,0,0,0,0,0,0,0,0,18.0,26.0,69.2,1.0,1,1.0,1,3.0,34.0,1.0,1.0,100.0,2,0,0,3,0.0,0.0,0,1.0,2.0,DF,26,Croatia,Dinamo Zagreb,IR Iran
